,,,Yuktahar (Student Mess) Monsoon Menu,,,,,
MEAL,ITEMS,MONDAY,TUESDAY,WEDNESDA,THURSDAY,FRIDAY,SATURDAY,SUNDAY
,,,,Y,,,,
,ITEM1,Idly,Veg. Upma,Poha,Raagi Idly,Dalia Upma,Semiya Upma,Poha
,ITEM2,Raagi,Rajgira,Masala Sprouts,Rajgira,Masala Sprouts,Rajgira,Raagi
,ACCOMP,Sambhar,,Raagi,Sambhar,Raagi,,
,ANIMENT,,,,,,,
KFAST,,,,,,,,
S,,,Coconut/Putana chutney,,,,,
,Putana Powder,,,Ginger Chutney,Putana Powder,Karampodi,,"Dhaniya
Chutney"
MILK,Milk,,Milk,Badaam Milk,Milk,Milk,,Milk
FRUIT,,,Seasonal fruits will be served,,,,,
CURD,,Butter milk,Butter milk,Sweet lassi,Butter milk,Butter milk,Sweet lassi,
,DAILY,,,,"Badaam, Sprouts, daliya",,,
,RICE,Brown Rice,Veg. Rice,Brown Rice,Rice,Brown Rice,Curd Rice,Masala Rice
,ITEM1,Dahi kadhi,,Paneer Masala,Tomato Curry,,,
"LUNC
H",Vegetable,Aloo Beans,Lauki,Aloo Beans,Aaloo Methi,Beetroot Poriyal,Pumpkin,"Aaloo
Capsicum"
,Daal,Mah chhole,Chhole,Masoor Dal,"Green whole
Moongdal",Rajma,"Dal Fry
[with&without
onion]",Black Chana
,Sweet,,Rawa Laddu,,,Daliya Sweet,Sweet Custard,"Atakalu
payasam"
,Roti,Roti,Roti,Roti,Roti,Roti,Jawar Roti,Roti
,Chutney,,"Tomato
Chutney",,Dosakai chutney,Gongura Pickle,"Dhaniya+Onion
Chutney","Donda
Chutney"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,RICE,Coconut rice,Brown rice,Mint rice,Pulihora,Brown Rice,Brown rice,"Masala khichdi
(With veggies)"
,ITEM1,,"Soyabean
Chunks",,Mix veg (Dry),,Masala Paneer,
DINNER,Vegetable,Bharwa Baigan,Karela,Lauki,Turai sabzi,Bhindi,,Gawar phali
,Daal,Sabut moongdal,"Mix dal
[with&without
onion]",Laubiya,"Toor Dal Tadka
[with&without
onion]",Toor Dal,Moong Dal,"Black urad
daal Tadka
[with&without
onion"
,Sweet,Raagi laddu,,Suji halwa,Aata halwa,,,
,Roti,Roti,Roti,Roti,Roti,Roti,Roti,Roti
,Chutney,Curry leaf,,,Donda Chutney,,,Kakarkaya
,,chutney,,,,,,pachadi pickle
